("deg_690", "mat_40")	Trial(11.719 s)
("deg_730", "mat_30")	Trial(8.955 s)
("deg_990", "mat_20")	Trial(8.904 s)
("deg_80", "mat_20")	Trial(598.858 ms)
("deg_480", "mat_10")	Trial(2.142 s)
("deg_410", "mat_30")	Trial(4.908 s)
("deg_170", "mat_10")	Trial(691.557 ms)
("deg_850", "mat_30")	Trial(10.696 s)
("deg_0", "mat_10")	Trial(43.184 ms)
("deg_440", "mat_10")	Trial(1.936 s)
("deg_110", "mat_30")	Trial(1.227 s)
("deg_170", "mat_40")	Trial(2.612 s)
("deg_950", "mat_40")	Trial(16.150 s)
("deg_920", "mat_40")	Trial(15.644 s)
("deg_30", "mat_40")	Trial(458.059 ms)
("deg_260", "mat_30")	Trial(2.989 s)
("deg_180", "mat_40")	Trial(2.767 s)
("deg_310", "mat_40")	Trial(5.017 s)
("deg_420", "mat_10")	Trial(1.856 s)
("deg_520", "mat_20")	Trial(4.423 s)
("deg_590", "mat_40")	Trial(9.900 s)
("deg_750", "mat_40")	Trial(12.983 s)
("deg_160", "mat_30")	Trial(1.788 s)
("deg_340", "mat_30")	Trial(3.997 s)
("deg_780", "mat_30")	Trial(10.246 s)
("deg_450", "mat_20")	Trial(3.671 s)
("deg_540", "mat_10")	Trial(2.295 s)
("deg_320", "mat_40")	Trial(5.169 s)
("deg_720", "mat_10")	Trial(3.116 s)
("deg_840", "mat_10")	Trial(3.767 s)
("deg_510", "mat_10")	Trial(2.142 s)
("deg_480", "mat_20")	Trial(4.008 s)
("deg_920", "mat_20")	Trial(8.147 s)
("deg_880", "mat_20")	Trial(7.731 s)
("deg_70", "mat_20")	Trial(473.357 ms)
("deg_670", "mat_10")	Trial(3.058 s)
("deg_190", "mat_30")	Trial(2.166 s)
("deg_210", "mat_40")	Trial(3.264 s)
("deg_90", "mat_10")	Trial(332.271 ms)
("deg_200", "mat_30")	Trial(2.139 s)
("deg_650", "mat_20")	Trial(5.553 s)
("deg_750", "mat_10")	Trial(3.440 s)
("deg_280", "mat_30")	Trial(3.240 s)
("deg_470", "mat_40")	Trial(7.734 s)
("deg_500", "mat_20")	Trial(3.925 s)
("deg_10", "mat_30")	Trial(300.141 ms)
("deg_330", "mat_40")	Trial(5.267 s)
("deg_950", "mat_30")	Trial(12.322 s)
("deg_770", "mat_20")	Trial(6.794 s)
("deg_660", "mat_30")	Trial(8.509 s)
("deg_330", "mat_10")	Trial(1.413 s)
("deg_70", "mat_10")	Trial(245.183 ms)
("deg_660", "mat_40")	Trial(10.744 s)
("deg_590", "mat_10")	Trial(2.652 s)
("deg_310", "mat_30")	Trial(3.571 s)
("deg_720", "mat_40")	Trial(12.375 s)
("deg_730", "mat_20")	Trial(6.342 s)
("deg_570", "mat_20")	Trial(4.806 s)
("deg_410", "mat_10")	Trial(1.685 s)
("deg_630", "mat_40")	Trial(9.977 s)
("deg_990", "mat_10")	Trial(4.984 s)
("deg_490", "mat_10")	Trial(2.169 s)
("deg_130", "mat_20")	Trial(994.684 ms)
("deg_700", "mat_20")	Trial(6.000 s)
("deg_330", "mat_30")	Trial(3.841 s)
("deg_510", "mat_30")	Trial(6.292 s)
("deg_230", "mat_10")	Trial(942.442 ms)
("deg_210", "mat_20")	Trial(1.529 s)
("deg_560", "mat_30")	Trial(7.031 s)
("deg_610", "mat_40")	Trial(10.168 s)
("deg_930", "mat_10")	Trial(4.546 s)
("deg_20", "mat_20")	Trial(154.257 ms)
("deg_370", "mat_10")	Trial(1.603 s)
("deg_630", "mat_20")	Trial(5.052 s)
("deg_870", "mat_40")	Trial(14.515 s)
("deg_570", "mat_40")	Trial(8.921 s)
("deg_450", "mat_10")	Trial(1.972 s)
("deg_360", "mat_30")	Trial(3.987 s)
("deg_670", "mat_20")	Trial(5.766 s)
("deg_520", "mat_10")	Trial(2.174 s)
("deg_540", "mat_20")	Trial(4.520 s)
("deg_360", "mat_40")	Trial(5.669 s)
("deg_900", "mat_20")	Trial(7.901 s)
("deg_340", "mat_40")	Trial(5.407 s)
("deg_120", "mat_30")	Trial(1.321 s)
("deg_380", "mat_10")	Trial(1.641 s)
("deg_810", "mat_30")	Trial(10.095 s)
("deg_140", "mat_40")	Trial(2.144 s)
("deg_420", "mat_40")	Trial(6.546 s)
("deg_110", "mat_20")	Trial(772.457 ms)
("deg_890", "mat_20")	Trial(7.803 s)
("deg_500", "mat_30")	Trial(6.118 s)
("deg_390", "mat_30")	Trial(4.611 s)
("deg_250", "mat_10")	Trial(988.740 ms)
("deg_620", "mat_40")	Trial(9.839 s)
("deg_820", "mat_40")	Trial(13.569 s)
("deg_750", "mat_30")	Trial(9.674 s)
("deg_480", "mat_40")	Trial(7.901 s)
("deg_460", "mat_20")	Trial(3.778 s)
("deg_260", "mat_20")	Trial(2.061 s)
("deg_530", "mat_10")	Trial(2.358 s)
("deg_590", "mat_30")	Trial(7.438 s)
("deg_710", "mat_10")	Trial(3.270 s)
("deg_910", "mat_40")	Trial(15.392 s)
("deg_30", "mat_30")	Trial(305.681 ms)
("deg_940", "mat_10")	Trial(4.663 s)
("deg_690", "mat_20")	Trial(5.568 s)
("deg_0", "mat_20")	Trial(126.589 ms)
("deg_980", "mat_10")	Trial(4.937 s)
("deg_930", "mat_30")	Trial(11.866 s)
("deg_740", "mat_40")	Trial(11.987 s)
("deg_550", "mat_30")	Trial(6.695 s)
("deg_680", "mat_30")	Trial(8.591 s)
("deg_40", "mat_10")	Trial(147.905 ms)
("deg_190", "mat_40")	Trial(3.059 s)
("deg_340", "mat_10")	Trial(1.493 s)
("deg_630", "mat_10")	Trial(2.890 s)
("deg_50", "mat_30")	Trial(529.094 ms)
("deg_600", "mat_10")	Trial(2.792 s)
("deg_0", "mat_40")	Trial(498.504 ms)
("deg_140", "mat_20")	Trial(1.089 s)
("deg_610", "mat_20")	Trial(5.243 s)
("deg_960", "mat_10")	Trial(4.872 s)
("deg_270", "mat_40")	Trial(4.392 s)
("deg_400", "mat_20")	Trial(3.352 s)
("deg_920", "mat_30")	Trial(12.216 s)
("deg_970", "mat_10")	Trial(5.017 s)
("deg_380", "mat_20")	Trial(3.111 s)
("deg_830", "mat_30")	Trial(10.623 s)
("deg_10", "mat_40")	Trial(416.702 ms)
("deg_350", "mat_10")	Trial(1.439 s)
("deg_910", "mat_10")	Trial(4.474 s)
("deg_100", "mat_30")	Trial(1.087 s)
("deg_890", "mat_10")	Trial(4.049 s)
("deg_580", "mat_40")	Trial(9.760 s)
("deg_410", "mat_40")	Trial(6.291 s)
("deg_380", "mat_30")	Trial(4.519 s)
("deg_680", "mat_40")	Trial(11.633 s)
("deg_220", "mat_10")	Trial(894.515 ms)
("deg_160", "mat_20")	Trial(1.208 s)
("deg_520", "mat_30")	Trial(6.431 s)
("deg_300", "mat_40")	Trial(4.795 s)
("deg_690", "mat_30")	Trial(8.757 s)
("deg_490", "mat_40")	Trial(7.697 s)
("deg_110", "mat_10")	Trial(424.845 ms)
("deg_0", "mat_30")	Trial(261.308 ms)
("deg_800", "mat_30")	Trial(10.008 s)
("deg_240", "mat_20")	Trial(1.887 s)
("deg_170", "mat_30")	Trial(1.887 s)
("deg_250", "mat_40")	Trial(3.990 s)
("deg_310", "mat_20")	Trial(2.473 s)
("deg_80", "mat_10")	Trial(298.938 ms)
("deg_50", "mat_10")	Trial(177.410 ms)
("deg_870", "mat_20")	Trial(7.663 s)
("deg_930", "mat_20")	Trial(8.294 s)
("deg_940", "mat_20")	Trial(8.903 s)
("deg_440", "mat_40")	Trial(7.336 s)
("deg_610", "mat_30")	Trial(7.819 s)
("deg_650", "mat_40")	Trial(10.926 s)
("deg_260", "mat_10")	Trial(1.043 s)
("deg_60", "mat_10")	Trial(223.525 ms)
("deg_470", "mat_10")	Trial(2.065 s)
("deg_40", "mat_20")	Trial(262.941 ms)
("deg_150", "mat_20")	Trial(1.150 s)
("deg_560", "mat_10")	Trial(2.540 s)
("deg_710", "mat_20")	Trial(5.942 s)
("deg_430", "mat_10")	Trial(1.897 s)
("deg_30", "mat_20")	Trial(211.734 ms)
("deg_540", "mat_40")	Trial(9.574 s)
("deg_800", "mat_40")	Trial(13.721 s)
("deg_380", "mat_40")	Trial(5.911 s)
("deg_90", "mat_30")	Trial(1.025 s)
("deg_200", "mat_40")	Trial(3.326 s)
("deg_120", "mat_40")	Trial(1.909 s)
("deg_10", "mat_20")	Trial(220.637 ms)
("deg_190", "mat_10")	Trial(753.095 ms)
("deg_270", "mat_30")	Trial(3.136 s)
("deg_370", "mat_30")	Trial(4.397 s)
("deg_10", "mat_10")	Trial(70.544 ms)
("deg_320", "mat_10")	Trial(1.296 s)
("deg_820", "mat_20")	Trial(7.036 s)
("deg_40", "mat_40")	Trial(632.000 ms)
("deg_680", "mat_10")	Trial(2.949 s)
("deg_420", "mat_30")	Trial(5.065 s)
("deg_960", "mat_40")	Trial(16.628 s)
("deg_740", "mat_10")	Trial(3.445 s)
("deg_780", "mat_20")	Trial(6.956 s)
("deg_920", "mat_10")	Trial(4.535 s)
("deg_220", "mat_30")	Trial(2.552 s)
("deg_620", "mat_20")	Trial(5.010 s)
("deg_360", "mat_10")	Trial(1.558 s)
("deg_870", "mat_10")	Trial(3.956 s)
("deg_640", "mat_40")	Trial(10.408 s)
("deg_20", "mat_30")	Trial(226.849 ms)
("deg_650", "mat_30")	Trial(8.302 s)
("deg_580", "mat_30")	Trial(7.341 s)
("deg_770", "mat_30")	Trial(9.750 s)
("deg_760", "mat_10")	Trial(3.559 s)
("deg_800", "mat_20")	Trial(6.842 s)
("deg_530", "mat_40")	Trial(8.432 s)
("deg_860", "mat_10")	Trial(4.157 s)
("deg_70", "mat_30")	Trial(778.603 ms)
("deg_770", "mat_40")	Trial(12.830 s)
("deg_950", "mat_10")	Trial(4.726 s)
("deg_150", "mat_10")	Trial(566.801 ms)
("deg_1000", "mat_40")	Trial(17.417 s)
("deg_660", "mat_20")	Trial(5.352 s)
("deg_880", "mat_10")	Trial(4.001 s)
("deg_650", "mat_10")	Trial(2.984 s)
("deg_440", "mat_30")	Trial(5.369 s)
("deg_110", "mat_40")	Trial(1.713 s)
("deg_730", "mat_10")	Trial(3.395 s)
("deg_200", "mat_20")	Trial(1.571 s)
("deg_350", "mat_20")	Trial(2.828 s)
("deg_600", "mat_30")	Trial(7.285 s)
("deg_300", "mat_30")	Trial(3.456 s)
("deg_820", "mat_10")	Trial(3.937 s)
("deg_830", "mat_20")	Trial(7.220 s)
("deg_20", "mat_10")	Trial(91.707 ms)
("deg_500", "mat_40")	Trial(8.381 s)
("deg_410", "mat_20")	Trial(3.359 s)
("deg_220", "mat_20")	Trial(1.743 s)
("deg_970", "mat_20")	Trial(9.393 s)
("deg_90", "mat_40")	Trial(1.397 s)
("deg_400", "mat_40")	Trial(6.395 s)
("deg_470", "mat_30")	Trial(5.719 s)
("deg_200", "mat_10")	Trial(852.673 ms)
("deg_700", "mat_10")	Trial(3.206 s)
("deg_620", "mat_10")	Trial(2.828 s)
("deg_950", "mat_20")	Trial(8.481 s)
("deg_720", "mat_30")	Trial(9.053 s)
("deg_250", "mat_30")	Trial(2.891 s)
("deg_150", "mat_40")	Trial(2.327 s)
("deg_970", "mat_40")	Trial(17.001 s)
("deg_320", "mat_30")	Trial(3.775 s)
("deg_980", "mat_40")	Trial(17.648 s)
("deg_170", "mat_20")	Trial(1.354 s)
("deg_980", "mat_20")	Trial(9.140 s)
("deg_20", "mat_40")	Trial(360.295 ms)
("deg_880", "mat_40")	Trial(15.265 s)
("deg_430", "mat_30")	Trial(5.201 s)
("deg_360", "mat_20")	Trial(2.730 s)
("deg_850", "mat_40")	Trial(14.346 s)
("deg_800", "mat_10")	Trial(3.804 s)
("deg_470", "mat_20")	Trial(3.887 s)
("deg_120", "mat_10")	Trial(442.609 ms)
("deg_290", "mat_20")	Trial(2.329 s)
("deg_510", "mat_20")	Trial(4.314 s)
("deg_480", "mat_30")	Trial(5.867 s)
("deg_790", "mat_30")	Trial(10.613 s)
("deg_740", "mat_20")	Trial(6.513 s)
("deg_490", "mat_30")	Trial(6.063 s)
("deg_300", "mat_20")	Trial(2.402 s)
("deg_150", "mat_30")	Trial(1.697 s)
("deg_670", "mat_30")	Trial(8.179 s)
("deg_640", "mat_10")	Trial(2.945 s)
("deg_1000", "mat_10")	Trial(5.126 s)
("deg_720", "mat_20")	Trial(6.432 s)
("deg_210", "mat_30")	Trial(2.390 s)
("deg_700", "mat_30")	Trial(8.591 s)
("deg_900", "mat_10")	Trial(4.400 s)
("deg_140", "mat_10")	Trial(567.361 ms)
("deg_860", "mat_30")	Trial(10.978 s)
("deg_60", "mat_20")	Trial(413.011 ms)
("deg_910", "mat_20")	Trial(8.975 s)
("deg_100", "mat_20")	Trial(818.635 ms)
("deg_990", "mat_30")	Trial(13.607 s)
("deg_280", "mat_10")	Trial(1.219 s)
("deg_790", "mat_10")	Trial(3.938 s)
("deg_680", "mat_20")	Trial(5.706 s)
("deg_730", "mat_40")	Trial(12.098 s)
("deg_340", "mat_20")	Trial(2.798 s)
("deg_520", "mat_40")	Trial(8.496 s)
("deg_1000", "mat_30")	Trial(14.321 s)
("deg_960", "mat_20")	Trial(9.214 s)
("deg_210", "mat_10")	Trial(903.250 ms)
("deg_850", "mat_20")	Trial(7.495 s)
("deg_180", "mat_30")	Trial(2.014 s)
("deg_900", "mat_40")	Trial(15.667 s)
("deg_790", "mat_40")	Trial(13.591 s)
("deg_940", "mat_30")	Trial(12.165 s)
("deg_330", "mat_20")	Trial(2.650 s)
("deg_560", "mat_20")	Trial(4.599 s)
("deg_70", "mat_40")	Trial(1.120 s)
("deg_230", "mat_40")	Trial(3.595 s)
("deg_460", "mat_40")	Trial(7.478 s)
("deg_240", "mat_10")	Trial(950.714 ms)
("deg_60", "mat_30")	Trial(649.478 ms)
("deg_190", "mat_20")	Trial(1.505 s)
("deg_160", "mat_40")	Trial(2.518 s)
("deg_510", "mat_40")	Trial(8.669 s)
("deg_280", "mat_40")	Trial(4.540 s)
("deg_350", "mat_40")	Trial(5.651 s)
("deg_750", "mat_20")	Trial(6.261 s)
("deg_760", "mat_40")	Trial(12.774 s)
("deg_450", "mat_40")	Trial(7.045 s)
("deg_400", "mat_10")	Trial(1.805 s)
("deg_270", "mat_10")	Trial(1.179 s)
("deg_220", "mat_40")	Trial(3.472 s)
("deg_30", "mat_10")	Trial(119.735 ms)
("deg_530", "mat_30")	Trial(6.268 s)
("deg_100", "mat_10")	Trial(355.038 ms)
("deg_860", "mat_40")	Trial(15.333 s)
("deg_880", "mat_30")	Trial(12.230 s)
("deg_630", "mat_30")	Trial(8.217 s)
("deg_840", "mat_30")	Trial(10.725 s)
("deg_440", "mat_20")	Trial(3.439 s)
("deg_810", "mat_20")	Trial(7.088 s)
("deg_370", "mat_20")	Trial(3.049 s)
("deg_500", "mat_10")	Trial(2.262 s)
("deg_810", "mat_10")	Trial(3.908 s)
("deg_660", "mat_10")	Trial(3.082 s)
("deg_250", "mat_20")	Trial(2.093 s)
("deg_430", "mat_20")	Trial(3.550 s)
("deg_930", "mat_40")	Trial(16.175 s)
("deg_390", "mat_10")	Trial(1.764 s)
("deg_640", "mat_30")	Trial(8.404 s)
("deg_240", "mat_30")	Trial(2.798 s)
("deg_240", "mat_40")	Trial(3.824 s)
("deg_600", "mat_40")	Trial(10.191 s)
("deg_760", "mat_20")	Trial(6.843 s)
("deg_860", "mat_20")	Trial(7.617 s)
("deg_670", "mat_40")	Trial(10.916 s)
("deg_770", "mat_10")	Trial(3.647 s)
("deg_550", "mat_10")	Trial(2.492 s)
("deg_530", "mat_20")	Trial(4.519 s)
("deg_80", "mat_40")	Trial(1.277 s)
("deg_640", "mat_20")	Trial(5.347 s)
("deg_60", "mat_40")	Trial(916.632 ms)
("deg_550", "mat_40")	Trial(9.384 s)
("deg_810", "mat_40")	Trial(13.735 s)
("deg_280", "mat_20")	Trial(2.250 s)
("deg_1000", "mat_20")	Trial(9.043 s)
("deg_890", "mat_30")	Trial(11.434 s)
("deg_940", "mat_40")	Trial(16.993 s)
("deg_90", "mat_20")	Trial(710.863 ms)
("deg_140", "mat_30")	Trial(1.582 s)
("deg_310", "mat_10")	Trial(1.330 s)
("deg_830", "mat_40")	Trial(13.886 s)
("deg_600", "mat_20")	Trial(5.139 s)
("deg_80", "mat_30")	Trial(870.626 ms)
("deg_40", "mat_30")	Trial(402.888 ms)
("deg_100", "mat_40")	Trial(1.571 s)
("deg_890", "mat_40")	Trial(15.183 s)
("deg_900", "mat_30")	Trial(11.585 s)
("deg_710", "mat_30")	Trial(8.835 s)
("deg_270", "mat_20")	Trial(2.217 s)
("deg_300", "mat_10")	Trial(1.225 s)
("deg_590", "mat_20")	Trial(5.151 s)
("deg_50", "mat_20")	Trial(354.529 ms)
("deg_990", "mat_40")	Trial(17.618 s)
("deg_390", "mat_20")	Trial(3.275 s)
("deg_290", "mat_30")	Trial(3.384 s)
("deg_490", "mat_20")	Trial(4.142 s)
("deg_400", "mat_30")	Trial(4.816 s)
("deg_130", "mat_10")	Trial(530.426 ms)
("deg_610", "mat_10")	Trial(2.821 s)
("deg_460", "mat_30")	Trial(5.721 s)
("deg_320", "mat_20")	Trial(2.612 s)
("deg_570", "mat_30")	Trial(7.374 s)
("deg_780", "mat_10")	Trial(3.507 s)
("deg_130", "mat_30")	Trial(1.486 s)
("deg_820", "mat_30")	Trial(10.500 s)
("deg_460", "mat_10")	Trial(2.061 s)
("deg_700", "mat_40")	Trial(11.530 s)
("deg_420", "mat_20")	Trial(3.513 s)
("deg_160", "mat_10")	Trial(629.672 ms)
("deg_690", "mat_10")	Trial(3.197 s)
("deg_850", "mat_10")	Trial(3.585 s)
("deg_180", "mat_10")	Trial(752.317 ms)
("deg_350", "mat_30")	Trial(3.947 s)
("deg_710", "mat_40")	Trial(12.203 s)
("deg_970", "mat_30")	Trial(13.288 s)
("deg_180", "mat_20")	Trial(1.419 s)
("deg_370", "mat_40")	Trial(5.923 s)
("deg_580", "mat_20")	Trial(4.914 s)
("deg_790", "mat_20")	Trial(7.087 s)
("deg_260", "mat_40")	Trial(4.317 s)
("deg_230", "mat_20")	Trial(1.811 s)
("deg_580", "mat_10")	Trial(2.649 s)
("deg_980", "mat_30")	Trial(12.821 s)
("deg_840", "mat_20")	Trial(7.348 s)
("deg_290", "mat_40")	Trial(4.695 s)
("deg_760", "mat_30")	Trial(10.016 s)
("deg_50", "mat_40")	Trial(771.658 ms)
("deg_870", "mat_30")	Trial(11.617 s)
("deg_910", "mat_30")	Trial(11.918 s)
("deg_130", "mat_40")	Trial(2.069 s)
("deg_450", "mat_30")	Trial(5.490 s)
("deg_960", "mat_30")	Trial(13.536 s)
("deg_740", "mat_30")	Trial(9.849 s)
("deg_230", "mat_30")	Trial(2.665 s)
("deg_540", "mat_30")	Trial(6.889 s)
("deg_430", "mat_40")	Trial(7.127 s)
("deg_780", "mat_40")	Trial(13.523 s)
("deg_390", "mat_40")	Trial(6.334 s)
("deg_120", "mat_20")	Trial(930.320 ms)
("deg_620", "mat_30")	Trial(8.008 s)
("deg_570", "mat_10")	Trial(2.602 s)
("deg_550", "mat_20")	Trial(4.678 s)
("deg_290", "mat_10")	Trial(1.254 s)
("deg_840", "mat_40")	Trial(14.450 s)
("deg_830", "mat_10")	Trial(4.017 s)
("deg_560", "mat_40")	Trial(9.583 s)
